pays,zip,city,id
FR,02290,BERNY RIVIERE,dom_cities_489
FR,02820,BERRIEUX,dom_cities_490
FR,02190,BERRY AU BAC,dom_cities_491
FR,02800,BERTAUCOURT EPOURDON,dom_cities_492
FR,02240,BERTHENICOURT,dom_cities_493
FR,02190,BERTRICOURT,dom_cities_494
FR,02200,BERZY LE SEC,dom_cities_495
FR,02300,BESME,dom_cities_496
FR,02500,BESMONT,dom_cities_497
FR,02870,BESNY ET LOIZY,dom_cities_498
FR,02300,BETHANCOURT EN VAUX,dom_cities_499
FR,02210,BEUGNEUX,dom_cities_500
FR,02130,BEUVARDES,dom_cities_501
FR,02310,BEZU LE GUERY,dom_cities_502
FR,02400,BEZU ST GERMAIN,dom_cities_503
FR,02300,BICHANCOURT,dom_cities_504
FR,02290,BIEUXY,dom_cities_505
FR,02860,BIEVRES,dom_cities_506
FR,02200,BILLY SUR AISNE,dom_cities_507
FR,02210,BILLY SUR OURCQ,dom_cities_508
FR,02160,BLANZY LES FISMES,dom_cities_509
FR,02300,BLERANCOURT,dom_cities_510
FR,02400,BLESMES,dom_cities_511
FR,02110,BOHAIN EN VERMANDOIS,dom_cities_512
FR,02270,BOIS LES PARGNY,dom_cities_513
FR,02350,BONCOURT,dom_cities_514
FR,02400,BONNEIL,dom_cities_515
FR,02400,BONNESVALYN,dom_cities_516
FR,02420,BONY,dom_cities_517
FR,02250,BOSMONT SUR SERRE,dom_cities_518
FR,02860,BOUCONVILLE VAUCLAIR,dom_cities_519
FR,02450,BOUE,dom_cities_520
FR,02160,BOUFFIGNEREUX,dom_cities_521
FR,02400,BOURESCHES,dom_cities_522
FR,02160,BOURG ET COMIN,dom_cities_523
FR,02300,BOURGUIGNON SOUS COUCY,dom_cities_524
FR,02000,BOURGUIGNON SOUS MONTBAVIN,dom_cities_525
FR,02140,BOUTEILLE LA,dom_cities_526
FR,02220,BRAINE,dom_cities_527
FR,02320,BRANCOURT ENLAONNOIS,dom_cities_528
FR,02110,BRANCOURT LEGRAND,dom_cities_529
FR,02400,BRASLES,dom_cities_530
FR,02480,BRAY ST CHRISTOPHE,dom_cities_531
FR,02880,BRAYE,dom_cities_532
FR,02000,BRAYE EN LAONNOIS,dom_cities_533
FR,02140,BRAYE EN THIERACHE,dom_cities_534
FR,02210,BRECY,dom_cities_535
FR,02220,BRENELLE,dom_cities_536
FR,02210,BRENY,dom_cities_537
FR,02870,BRIE,dom_cities_538
FR,02240,BRISSAY CHOIGNY,dom_cities_539
FR,02240,BRISSY HAMEGICOURT,dom_cities_540
FR,02810,BRUMETZ,dom_cities_541
FR,02360,BRUNEHAMEL,dom_cities_542
FR,02860,BRUYERES ET MONTBERAULT,dom_cities_543
FR,02130,BRUYERES SURFERE,dom_cities_544
FR,02220,BRUYS,dom_cities_545
FR,02500,BUCILLY,dom_cities_546
FR,02880,BUCY LE LONG,dom_cities_547
FR,02870,BUCY LES CERNY,dom_cities_548
FR,02350,BUCY LES PIERREPONT,dom_cities_549
FR,02500,BUIRE,dom_cities_550
FR,02620,BUIRONFOSSE,dom_cities_551
FR,02140,BURELLES,dom_cities_552
FR,02810,BUSSIARES,dom_cities_553
FR,02200,BUZANCY,dom_cities_554
FR,02300,CAILLOUEL CREPIGNY,dom_cities_555
FR,02300,CAMELIN,dom_cities_556
FR,02260,CAPELLE LA,dom_cities_557
FR,02680,CASTRES,dom_cities_558
FR,02420,CATELET LE,dom_cities_559
FR,02490,CAULAINCOURT,dom_cities_560
FR,02300,CAUMONT,dom_cities_561
FR,02540,CELLE SOUS MONTMIRAIL LA,dom_cities_562
FR,02330,CELLES LES CONDE,dom_cities_563
FR,02370,CELLES SUR AISNE,dom_cities_564
FR,02240,CERIZY,dom_cities_565
FR,02860,CERNY EN LAONNOIS,dom_cities_566
FR,02870,CERNY LES BUCY,dom_cities_567
FR,02220,CERSEUIL,dom_cities_568
FR,02320,CESSIERES,dom_cities_569
FR,02200,CHACRISE,dom_cities_570
FR,02000,CHAILLEVOIS,dom_cities_571
FR,02270,CHALANDRY,dom_cities_572
FR,02000,CHAMBRY,dom_cities_573
FR,02860,CHAMOUILLE,dom_cities_574
FR,02670,CHAMPS,dom_cities_575
FR,02340,CHAOURSE,dom_cities_576
FR,02330,CHAPELLE MONTHODON LA,dom_cities_577
FR,02570,CHAPELLE SURCHEZY LA,dom_cities_578
FR,02310,CHARLY,dom_cities_579
FR,02850,CHARMEL LE,dom_cities_580
FR,02800,CHARMES,dom_cities_581
FR,02400,CHARTEVES,dom_cities_582
FR,02370,CHASSEMY,dom_cities_583
FR,02400,CHATEAU THIERRY,dom_cities_584
FR,02270,CHATILLON LESSONS,dom_cities_585
FR,02240,CHATILLON SUROISE,dom_cities_586
FR,02160,CHAUDARDES,dom_cities_587
FR,02200,CHAUDUN,dom_cities_588
FR,02300,CHAUNY,dom_cities_589
FR,02000,CHAVIGNON,dom_cities_590
FR,02880,CHAVIGNY,dom_cities_591
